task,train_size,lr,strat,stop_ep,gap,max_jump,roughness,room_after_decide,_cid
cifar10,2000,0.0005,early,95,0.006300002336502075,0.017621603449502588,0.0049022670116457626,0.07834790424985094,52
cifar10,2000,0.0005,smart_trend,11,0.04330000281333923,0.017621603449502588,0.0049022670116457626,0.07834790424985094,52
cifar10,2000,0.0005,smart_meta,11,0.04330000281333923,0.017621603449502588,0.0049022670116457626,0.07834790424985094,52
cifar10,2000,0.0005,param,11,0.04330000281333923,0.017621603449502588,0.0049022670116457626,0.07834790424985094,52
cifar10,6000,0.0005,early,39,0.006399989128112793,0.03106255969879046,0.010991660127402086,0.05292748531495617,53
cifar10,6000,0.0005,smart_trend,11,0.03749999403953552,0.03106255969879046,0.010991660127402086,0.05292748531495617,53
cifar10,6000,0.0005,smart_meta,13,0.027500003576278687,0.03106255969879046,0.010991660127402086,0.05292748531495617,53
cifar10,6000,0.0005,param,11,0.03749999403953552,0.03106255969879046,0.010991660127402086,0.05292748531495617,53
cifar10,6000,0.003,early,16,0.01660001277923584,0.06345409952118408,0.03120977640211518,0.025435988718160996,54
cifar10,6000,0.003,smart_trend,11,0.01660001277923584,0.06345409952118408,0.03120977640211518,0.025435988718160996,54
cifar10,6000,0.003,smart_meta,11,0.01660001277923584,0.06345409952118408,0.03120977640211518,0.025435988718160996,54
cifar10,6000,0.003,param,11,0.01660001277923584,0.06345409952118408,0.03120977640211518,0.025435988718160996,54
cifar10,2000,0.005,early,13,0.014599993824958801,0.21578145597280474,0.05537213440807831,0.03250100532725786,55
cifar10,2000,0.005,smart_trend,11,0.014599993824958801,0.21578145597280474,0.05537213440807831,0.03250100532725786,55
cifar10,2000,0.005,smart_meta,11,0.014599993824958801,0.21578145597280474,0.05537213440807831,0.03250100532725786,55
cifar10,2000,0.005,param,11,0.014599993824958801,0.21578145597280474,0.05537213440807831,0.03250100532725786,55
cifar10,300,0.0003,early,49,0.019300013780593872,0.04584112453911415,0.016035959886463336,0.08648134695098497,56
cifar10,300,0.0003,smart_trend,11,0.10690000653266907,0.04584112453911415,0.016035959886463336,0.08648134695098497,56
cifar10,300,0.0003,smart_meta,14,0.08230000734329224,0.04584112453911415,0.016035959886463336,0.08648134695098497,56
cifar10,300,0.0003,param,11,0.10690000653266907,0.04584112453911415,0.016035959886463336,0.08648134695098497,56
cifar10,6000,0.0005,early,31,0.0,0.0675703999824705,0.02116940737291406,0.049320284141041726,57
cifar10,6000,0.0005,smart_trend,16,0.015400022268295288,0.0675703999824705,0.02116940737291406,0.049320284141041726,57
cifar10,6000,0.0005,smart_meta,11,0.04030001163482666,0.0675703999824705,0.02116940737291406,0.049320284141041726,57
cifar10,6000,0.0005,param,11,0.04030001163482666,0.0675703999824705,0.02116940737291406,0.049320284141041726,57
cifar10,300,0.005,early,15,0.013799995183944702,0.8340214282826932,0.11661215323041635,0.0,58
cifar10,300,0.005,smart_trend,12,0.013799995183944702,0.8340214282826932,0.11661215323041635,0.0,58
cifar10,300,0.005,smart_meta,11,0.013799995183944702,0.8340214282826932,0.11661215323041635,0.0,58
cifar10,300,0.005,param,11,0.013799995183944702,0.8340214282826932,0.11661215323041635,0.0,58
cifar10,300,0.001,early,58,0.008200004696846008,0.023462172007894688,0.011587144254295693,0.03188228846469732,59
cifar10,300,0.001,smart_trend,11,0.042799994349479675,0.023462172007894688,0.011587144254295693,0.03188228846469732,59
cifar10,300,0.001,smart_meta,11,0.042799994349479675,0.023462172007894688,0.011587144254295693,0.03188228846469732,59
cifar10,300,0.001,param,11,0.042799994349479675,0.023462172007894688,0.011587144254295693,0.03188228846469732,59
cifar10,2000,0.0003,early,50,0.013400018215179443,0.011355759734454574,0.0050237928879719755,0.09606968127657334,60
cifar10,2000,0.0003,smart_trend,16,0.035800009965896606,0.011355759734454574,0.0050237928879719755,0.09606968127657334,60
cifar10,2000,0.0003,smart_meta,18,0.041400015354156494,0.011355759734454574,0.0050237928879719755,0.09606968127657334,60
cifar10,2000,0.0003,param,11,0.05610001087188721,0.011355759734454574,0.0050237928879719755,0.09606968127657334,60
cifar10,300,0.001,early,19,0.007700011134147644,0.13512381303200516,0.04326151047297197,0.005928840784156675,61
cifar10,300,0.001,smart_trend,13,0.022100001573562622,0.13512381303200516,0.04326151047297197,0.005928840784156675,61
